gene_symbol,pmid,title,journal,pubdate,query_terms,hit_type,bridge_candidate,evidence_role
Amd1,38965534,Polyamine and EIF5A hypusination downstream of c-Myc confers targeted therapy resistance in BRAF mutant melanoma.,Molecular cancer,2024 Jul 4,polyamine;methionine salvage;s-adenosylmethionine,gene_or_gene_context,,
Amd1,28658205,mTORC1-dependent AMD1 regulation sustains polyamine metabolism in prostate cancer.,Nature,2017 Jul 6,polyamine;methionine salvage;s-adenosylmethionine,gene_or_gene_context,,
Amd1,40768332,Multi-dimensional metabolomic remodeling under diverse muscle atrophic stimuli in vivo.,Cell reports,2025 Aug 26,polyamine;methionine salvage;s-adenosylmethionine,gene_or_gene_context,,
Amd1,36543136,Spatially resolved transcriptomics reveals innervation-responsive functional clusters in skeletal muscle.,Cell reports,2022 Dec 20,polyamine;methionine salvage;s-adenosylmethionine,gene_or_gene_context,,
Amd1,10448523,Homocysteine metabolism.,Annual review of nutrition,1999,polyamine;methionine salvage;s-adenosylmethionine,mechanism_context,,
Amd1,34216539,Metabolic modeling of single Th17 cells reveals regulators of autoimmunity.,Cell,2021 Aug 5,polyamine;methionine salvage;s-adenosylmethionine,mechanism_context,,
Amd1,40185095,Cancer cell-derived arginine fuels polyamine biosynthesis in tumor-associated macrophages to promote immune evasion.,Cancer cell,2025 Jun 9,methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;balanced bridge candidate screen,bridge_metabolite_to_candidate_state,,
Amd1,41448182,Tumor-produced ammonia is metabolized by regulatory T cells to further impede anti-tumor immunity.,Cell,2026 Jan 22,methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;balanced bridge candidate screen,bridge_metabolite_to_candidate_state,,
Amd1,32879489,Cancer SLC43A2 alters T cell methionine metabolism and histone methylation.,Nature,2020 Sep,methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;balanced bridge candidate screen,bridge_metabolite_to_candidate_state,,
Amd1,38566199,Nanoparticles in tumor microenvironment remodeling and cancer immunotherapy.,Journal of hematology & oncology,2024 Apr 2,balanced bridge candidate screen;pulmonary hypertension;vascular remodeling,bridge_candidate_state_to_vascular,,
Amd1,37153557,Role of macrophages in pulmonary arterial hypertension.,Frontiers in immunology,2023,balanced bridge candidate screen;pulmonary hypertension;vascular remodeling,bridge_candidate_state_to_vascular,,
